timestamp,experiment_name,provider,endpoint,node_type,batch_size,thread_count,operation_type,message_size,ops_psec,tx_pkts_psec,rx_pkts_psec,tx_bw_mbps,rx_bw_mbps,app_bw_mbps,latency_usec
1,batch,efa,rdm,server,64,1,send,1,1077855.00,1078483.00,1.00,10.07,0.00,1.08,0.93
2,batch,efa,rdm,server,64,1,send,1,1092419.00,1092741.00,0.50,10.02,0.00,1.09,0.92
3,batch,efa,rdm,server,64,1,send,1,1097211.33,1097420.33,0.33,10.00,0.00,1.10,0.91
4,batch,efa,rdm,server,64,1,send,1,1099694.25,1099852.75,0.25,9.99,0.00,1.10,0.91
5,batch,efa,rdm,server,64,1,send,1,1101119.60,1101244.60,0.20,9.98,0.00,1.10,0.91
6,batch,efa,rdm,server,64,1,send,1,1102076.50,1102180.50,0.17,9.98,0.00,1.10,0.91
7,batch,efa,rdm,server,64,1,send,1,1102739.57,1102827.14,0.14,9.98,0.00,1.10,0.91
8,batch,efa,rdm,server,64,1,send,1,1103256.25,1103335.88,0.12,9.98,0.00,1.10,0.91
9,batch,efa,rdm,server,64,1,send,1,1103631.33,1103707.44,0.11,9.97,0.00,1.10,0.91
10,batch,efa,rdm,server,64,1,send,1,1103407.10,1103494.80,0.10,9.97,0.00,1.10,0.91
1,batch,efa,rdm,server,64,1,send,2,1086709.00,1087384.00,1.00,11.24,0.00,2.17,0.92
2,batch,efa,rdm,server,64,1,send,2,1100964.50,1101324.00,0.50,11.19,0.00,2.20,0.91
3,batch,efa,rdm,server,64,1,send,2,1105452.00,1105691.00,0.33,11.18,0.00,2.21,0.90
4,batch,efa,rdm,server,64,1,send,2,1107672.00,1107854.00,0.25,11.17,0.00,2.22,0.90
5,batch,efa,rdm,server,64,1,send,2,1109201.40,1109342.60,0.20,11.17,0.00,2.22,0.90
6,batch,efa,rdm,server,64,1,send,2,1110202.17,1110321.83,0.17,11.16,0.00,2.22,0.90
7,batch,efa,rdm,server,64,1,send,2,1110902.57,1111005.14,0.14,11.16,0.00,2.22,0.90
8,batch,efa,rdm,server,64,1,send,2,1111500.62,1111591.25,0.12,11.16,0.00,2.22,0.90
9,batch,efa,rdm,server,64,1,send,2,1112014.67,1112091.56,0.11,11.16,0.00,2.22,0.90
10,batch,efa,rdm,server,64,1,send,2,1111932.00,1112023.00,0.10,11.16,0.00,2.22,0.90
1,batch,efa,rdm,server,64,1,send,4,1063926.00,1064679.00,1.00,13.14,0.00,4.26,0.94
2,batch,efa,rdm,server,64,1,send,4,1077686.00,1078067.50,0.50,13.12,0.00,4.31,0.93
3,batch,efa,rdm,server,64,1,send,4,1082306.00,1082560.00,0.33,13.11,0.00,4.33,0.92
4,batch,efa,rdm,server,64,1,send,4,1085002.25,1085193.75,0.25,13.11,0.00,4.34,0.92
5,batch,efa,rdm,server,64,1,send,4,1086373.20,1086525.00,0.20,13.11,0.00,4.35,0.92
6,batch,efa,rdm,server,64,1,send,4,1087265.67,1087393.17,0.17,13.11,0.00,4.35,0.92
7,batch,efa,rdm,server,64,1,send,4,1087947.43,1088057.14,0.14,13.11,0.00,4.35,0.92
8,batch,efa,rdm,server,64,1,send,4,1088536.38,1088631.50,0.12,13.11,0.00,4.35,0.92
9,batch,efa,rdm,server,64,1,send,4,1088905.00,1088989.44,0.11,13.11,0.00,4.36,0.92
10,batch,efa,rdm,server,64,1,send,4,1088769.20,1088863.00,0.10,13.10,0.00,4.36,0.92
1,batch,efa,rdm,server,64,1,send,8,1073598.00,1074233.00,1.00,17.55,0.00,8.59,0.93
2,batch,efa,rdm,server,64,1,send,8,1087207.00,1087530.50,0.50,17.58,0.00,8.70,0.92
3,batch,efa,rdm,server,64,1,send,8,1093820.33,1094034.33,0.33,17.63,0.00,8.75,0.91
